entry_id,parl_id,source_id,details,start_date,end_date,location,num_nights,rate,spouse,amount,source_pdf,source_pagenum
P37_ABETZ_Eric_5_8,ABETZ_Eric,P37_ABETZ_Eric,"Sittings of Parliament",2015-08-16,2015-08-19,Canberra,4,271.00,0.00,1084.00,P37_ABETZ_Eric.pdf,5
P37_ABETZ_Eric_5_9,ABETZ_Eric,P37_ABETZ_Eric,"Minister - Official Business",2015-09-01,2015-09-01,Canberra,1,273.00,0.00,273.00,P37_ABETZ_Eric.pdf,5
P37_ALBANESE_Anthony_19_4,ALBANESE_Anthony,P37_ALBANESE_Anthony,"Sittings of Parliament",2015-06-14,2015-06-17,Canberra,4,271.00,0.00,1084.00,P37_ALBANESE_Anthony.pdf,19
P37_ALBANESE_Anthony_19_5,ALBANESE_Anthony,P37_ALBANESE_Anthony,"Shadow Minister - Official Business",2015-06-20,2015-06-20,Melbourne,1,377.00,0.00,377.00,P37_ALBANESE_Anthony.pdf,19
P37_ALBANESE_Anthony_19_6,ALBANESE_Anthony,P37_ALBANESE_Anthony,"Sittings of Parliament",2015-06-21,2015-06-24,Canberra,4,271.00,0.00,1084.00,P37_ALBANESE_Anthony.pdf,19
P37_ALBANESE_Anthony_5_10,ALBANESE_Anthony,P37_ALBANESE_Anthony,"Shadow Minister - Official Business",2015-08-06,2015-08-08,Melbourne,3,377.00,0.00,1131.00,P37_ALBANESE_Anthony.pdf,5
P37_ALBANESE_Anthony_5_11,ALBANESE_Anthony,P37_ALBANESE_Anthony,"Sittings of Parliament",2015-08-09,2015-08-12,Canberra,4,271.00,0.00,1084.00,P37_ALBANESE_Anthony.pdf,5
P37_ALBANESE_Anthony_5_12,ALBANESE_Anthony,P37_ALBANESE_Anthony,"Shadow Minister - Official Business",2015-08-24,2015-08-24,Perth,1,409.00,0.00,409.00,P37_ALBANESE_Anthony.pdf,5
P37_ALBANESE_Anthony_5_13,ALBANESE_Anthony,P37_ALBANESE_Anthony,"Shadow Minister - Official Business",2015-09-02,2015-09-02,Melbourne,1,379.00,0.00,379.00,P37_ALBANESE_Anthony.pdf,5
P37_ALBANESE_Anthony_5_14,ALBANESE_Anthony,P37_ALBANESE_Anthony,"Sittings of Parliament",2015-09-06,2015-09-09,Canberra,4,273.00,0.00,1092.00,P37_ALBANESE_Anthony.pdf,5
